,Model,Equation_Type,Equation,Score
0,model_1,best,(x5*x5 + 3.2226162)*(-0.98154366),2.031153672860529
1,model_2,best,-x5*x5 - 3.012808,3.1426673941324834
2,model_3,best,-x5*x5 - 3.0128005,3.201109097534992
3,model_1_noisy,best,x5*(-0.9861936)*x5 + sin(x1*(-2.0073497) + sin(x0)) - 3.0511763,2.0182580857510994
4,model_2_noisy,best,-x5*x5 - cos(sin(sin((x1 - sin(x0))*1.9730418)) - 1*1.6223562) - 2.9331264 + 0.010947792,3.038596173958591
5,model_3_noisy,best,-x5*x5 - 2.9476075,3.0966971295693346
6,model_1_wide_range,best,x5*x5*(-0.9992922) - 3.028511,3.273025759780836
7,model_2_wide_range,best,-x5*x5 - 2.9765701,3.827114566310035
8,model_3_wide_range,best,-x5*x5 - 2.976615,3.8271144933647845
9,model_1_noisy_std_dev_2,best,x5*(-0.99853265)*x5 - 2.821686,3.0744106712461954
10,model_2_noisy_std_dev_2,best,-x5*x5 - 2.7146783,3.321948083118081
11,model_3_noisy_std_dev_2,best,-x5*x5 - 2.7146323,3.321948036988888
12,model_1_noisy_std_dev_5,best,x5*(-1.0226563)*x5,2.5148301644820483
13,model_2_noisy_std_dev_5,best,-x5*x5 - 2.820656,2.5679034060844566
14,model_3_noisy_std_dev_5,best,-x5*x5 - 2.820656,2.5679034402220244
15,model_1f,best,x0*sin(x0) + x5*x5*(-0.9596014) - 3.1420352,1.314799328321828
16,model_2f,best,(x0 - sympy_p(x0 - 1*(-0.4466726)))*1.2834208 - (x5*x5 - cos((x0 - sympy_p(x0 - 1*1.3226477))*(-0.67865336))),1.6283174946742023
17,model_3f,best,x0*sin(x0) - x5*x5 - 3.0805976,1.6283174946742023
18,model_1f_noisy,best,x0*x0*(-0.3652689) + x5*x5*(-0.9999885),1.3218096631792173
19,model_2f_noisy,best,-(x5*x5 + (1.0943007**x0)**x0) - 0.7388317,1.6155581329269388
20,model_3f_noisy,best,x0*x0*(-0.36526573) - x5*x5,1.6155581329269388
21,model_1f_wide_range,best,x5*x5*(-1.0056486) - 20.292524,2.4688799917340476
22,model_2f_wide_range,best,x5*(0.014750904 - x5) - (sympy_p(-x0 - 0.50787765) + sympy_p(x0 - 1*0.52331203)),2.918947602250603
23,model_3f_wide_range,best,x0*2.3441305 - (x5*x5 + sympy_p(x0 + 4.4128265)),2.918947602250603
24,model_1f_noisy_std_dev_2,best,(x5*x5 + sympy_p(x0) + sympy_p(x0*(-0.95892036)))*(-0.992012),2.4683482362650375
25,model_2f_noisy_std_dev_2,best,x0*x0*(-0.20272519) - x5*x5 - 3.3797514,2.9145071181481783
26,model_3f_noisy_std_dev_2,best,x0*x0*(-0.22699876) + x5*(-x5 - 0.00089708576),2.9145071181481783
27,model_1f_noisy_std_dev_5,best,x0*x0*(-0.22470863) + x5*x5*(-1.0113478),1.9451109859083446
28,model_2f_noisy_std_dev_5,best,x5*x5*(-1.0038059) - (-7.2859035*(x0 + 15.706869) + exp(x0*0.056066874 + 4.7751923)),1.488881806195224
29,model_3f_noisy_std_dev_5,best,x0*3.0 - x5**2.0 - 2.0*sympy_p(x0),2.76380778955855
