,Model,Equation_Type,Equation,Score
0,model_1,best,(x5*x5 + 3.2226162)*(-0.98154366),2.031153672860529
1,model_1,3,(x5 * x5) * -1.1931033,2.031153672860529
2,model_1,4,((x5 * x5) + 3.2226162) * -0.98154366,0.5600188437285241
3,model_1,11,((x5 * x5) + (cos(cos(x1 * 2.0104563) + sin(x0)) + 2.4525237)) * -0.98479724,0.18369146479546755
4,model_2,best,-x5*x5 - 3.012808,3.1426673941324834
5,model_2,3,-3.012808 - (x5 * x5),3.1426673941324834
6,model_2,2,cos(x5) + -10.987481,0.07208358516176597
7,model_2,11,(-2.228514 - (x5 * x5)) - cos(sin(0.8626206 - (x1 - cos(x0 + 11.154672)))),0.03560224962362267
8,model_3,best,-x5*x5 - 3.0128005,3.201109097534992
9,model_3,3,-3.0128005 - (x5 * x5),3.201109097534992
10,model_3,2,-11.157398 - sin(x0),0.013641881759257372
11,model_3,5,-3.0190911 - (x5 * (x5 + (x4 * -0.033289663))),0.011890356979284483
12,model_1_noisy,best,x5*(-0.9861936)*x5 + sin(x1*(-2.0073497) + sin(x0)) - 3.0511763,2.0182580857510994
13,model_1_noisy,3,x5 * (x5 * -1.1879785),2.0182580857510994
14,model_1_noisy,4,((x5 * -0.97982454) * x5) + -3.111651,0.5147546199567392
15,model_1_noisy,10,(sin(sin(x0) + (x1 * -2.0073497)) + -3.0511763) + ((x5 * -0.9861936) * x5),0.4209634331144931
16,model_2_noisy,best,-x5*x5 - cos(sin(sin((x1 - sin(x0))*1.9730418)) - 1*1.6223562) - 2.9331264 + 0.010947792,3.038596173958591
17,model_2_noisy,3,-2.9473002 - (x5 * x5),3.038596173958591
18,model_2_noisy,13,(0.010947792 - cos(sin(sin((x1 - sin(x0)) * 1.9730418)) - 1.6223562)) + (-2.9331264 - (x5 * x5)),0.11075057093231666
19,model_2_noisy,9,sin((cos(x1) - sin(x0)) * 1.9893211) + (-2.8403842 - (x5 * x5)),0.09445441886332716
20,model_3_noisy,best,-x5*x5 - 2.9476075,3.0966971295693346
21,model_3_noisy,3,-2.9476075 - (x5 * x5),3.0966971295693346
22,model_3_noisy,8,"(-4.089634 - (x5 * x5)) + safe_pow(0.5352138, sin(x1 * 2.028208))",0.04737872864474862
23,model_3_noisy,6,"-1.8988255 - ((x5 * x5) + safe_pow(1.5250051, sin(x0)))",0.024864964193243858
