,Model,Equation_Type,Equation,Score
0,model_1,best,(x5*x5 + 3.2226162)*(-0.98154366),2.031153672860529
1,model_1,3,(x5 * x5) * -1.1931033,2.031153672860529
2,model_1,4,((x5 * x5) + 3.2226162) * -0.98154366,0.5600188437285241
3,model_1,11,((x5 * x5) + (cos(cos(x1 * 2.0104563) + sin(x0)) + 2.4525237)) * -0.98479724,0.18369146479546755
4,model_2,best,-x5*x5 - 3.012808,3.1426673941324834
5,model_2,3,-3.012808 - (x5 * x5),3.1426673941324834
6,model_2,2,cos(x5) + -10.987481,0.07208358516176597
7,model_2,11,(-2.228514 - (x5 * x5)) - cos(sin(0.8626206 - (x1 - cos(x0 + 11.154672)))),0.03560224962362267
8,model_3,best,-x5*x5 - 3.0128005,3.201109097534992
9,model_3,3,-3.0128005 - (x5 * x5),3.201109097534992
10,model_3,2,-11.157398 - sin(x0),0.013641881759257372
11,model_3,5,-3.0190911 - (x5 * (x5 + (x4 * -0.033289663))),0.011890356979284483
12,model_1_noisy,best,x5*(-0.9861936)*x5 + sin(x1*(-2.0073497) + sin(x0)) - 3.0511763,2.0182580857510994
13,model_1_noisy,3,x5 * (x5 * -1.1879785),2.0182580857510994
14,model_1_noisy,4,((x5 * -0.97982454) * x5) + -3.111651,0.5147546199567392
15,model_1_noisy,10,(sin(sin(x0) + (x1 * -2.0073497)) + -3.0511763) + ((x5 * -0.9861936) * x5),0.4209634331144931
16,model_2_noisy,best,-x5*x5 - cos(sin(sin((x1 - sin(x0))*1.9730418)) - 1*1.6223562) - 2.9331264 + 0.010947792,3.038596173958591
17,model_2_noisy,3,-2.9473002 - (x5 * x5),3.038596173958591
18,model_2_noisy,13,(0.010947792 - cos(sin(sin((x1 - sin(x0)) * 1.9730418)) - 1.6223562)) + (-2.9331264 - (x5 * x5)),0.11075057093231666
19,model_2_noisy,9,sin((cos(x1) - sin(x0)) * 1.9893211) + (-2.8403842 - (x5 * x5)),0.09445441886332716
20,model_3_noisy,best,-x5*x5 - 2.9476075,3.0966971295693346
21,model_3_noisy,3,-2.9476075 - (x5 * x5),3.0966971295693346
22,model_3_noisy,8,"(-4.089634 - (x5 * x5)) + safe_pow(0.5352138, sin(x1 * 2.028208))",0.04737872864474862
23,model_3_noisy,6,"-1.8988255 - ((x5 * x5) + safe_pow(1.5250051, sin(x0)))",0.024864964193243858
24,model_1_wide_range,best,x5*x5*(-0.9992922) - 3.028511,3.273025759780836
25,model_1_wide_range,2,(x5 * x5) * -1.0218015,3.273025759780836
26,model_1_wide_range,3,(x5 * (x5 * -0.9992922)) + -3.028511,0.5546362928424918
27,model_1_wide_range,6,sin(exp(x3) * -2.7683747) + (-3.0624006 + ((x5 * x5) * -0.9990412)),0.02765203243713941
28,model_2_wide_range,best,-x5*x5 - 2.9765701,3.827114566310035
29,model_2_wide_range,2,-2.9765701 - (x5 * x5),3.827114566310035
30,model_2_wide_range,1,x2 - 76.74393,0.016651168444396694
31,model_2_wide_range,6,(x5 - ((cos(x4 * -0.024769949) + x5) * x5)) + -2.9894004,0.016535156470628736
32,model_3_wide_range,best,-x5*x5 - 2.976615,3.8271144933647845
33,model_3_wide_range,2,-2.976615 - (x5 * x5),3.8271144933647845
34,model_3_wide_range,9,(((x5 * x5) * -1.0002514) + (sin(5.593277 - exp(x5)) * 0.64666533)) + -2.7202268,0.02920778682401258
35,model_3_wide_range,1,x2 + -76.74524,0.016651168444396694
36,model_1_noisy_std_dev_2,best,x5*(-0.99853265)*x5 - 2.821686,3.0744106712461954
37,model_1_noisy_std_dev_2,2,x5 * (x5 * -1.0195066),3.0744106712461954
38,model_1_noisy_std_dev_2,3,((x5 * -0.99853265) * x5) + -2.821686,0.24839992561989105
39,model_1_noisy_std_dev_2,8,((sin(x0 * -1.4575338) + 104.200325) * (x5 * (x5 * -0.0095822085))) + -2.8464658,0.03593384886504821
40,model_2_noisy_std_dev_2,best,-x5*x5 - 2.7146783,3.321948083118081
41,model_2_noisy_std_dev_2,2,-2.7146783 - (x5 * x5),3.321948083118081
42,model_2_noisy_std_dev_2,5,-2.7375906 - ((x5 * x5) - sin(x0 * 1.4556397)),0.07235500680729885
43,model_2_noisy_std_dev_2,1,x2 - 76.48377,0.016550233287516133
44,model_3_noisy_std_dev_2,best,-x5*x5 - 2.7146323,3.321948036988888
45,model_3_noisy_std_dev_2,2,-2.7146323 - (x5 * x5),3.321948036988888
46,model_3_noisy_std_dev_2,5,-2.7463887 - ((x5 * x5) - sin(x0 * 1.4504236)),0.07366061553802108
47,model_3_noisy_std_dev_2,1,x2 + -76.48811,0.016550279416709394
48,model_1_noisy_std_dev_5,best,x5*(-1.0226563)*x5,2.5148301644820483
49,model_1_noisy_std_dev_5,2,(x5 * -1.0226563) * x5,2.5148301644820483
50,model_1_noisy_std_dev_5,3,(x5 * (x5 * -1.0037092)) + -2.548877,0.054270064453231945
51,model_1_noisy_std_dev_5,1,x2 + -76.58875,0.017257385107931143
52,model_2_noisy_std_dev_5,best,-x5*x5 - 2.820656,2.5679034060844566
53,model_2_noisy_std_dev_5,2,-2.820656 - (x5 * x5),2.5679034060844566
54,model_2_noisy_std_dev_5,1,x2 + -76.58875,0.017257385107931143
55,model_2_noisy_std_dev_5,4,cos(x4) - ((x5 * x5) - -2.8702505),0.015610296277358078
56,model_3_noisy_std_dev_5,best,-x5*x5 - 2.820656,2.5679034402220244
57,model_3_noisy_std_dev_5,2,-2.820656 - (x5 * x5),2.5679034402220244
58,model_3_noisy_std_dev_5,1,x2 - 76.58876,0.017257350970363412
59,model_3_noisy_std_dev_5,4,(-2.7326128 - (x5 * x5)) - (x0 * -0.10117421),0.01541305763190869
